Ref,Val,Package,PosX,PosY,Rot,Side
"A1","RP2350_PicoA","RaspberryPi_Pico_Common_THT",41.110000,-5.870000,0.000000,top
"A2","RP2350_PicoB","RaspberryPi_Pico_SMD",24.000000,-29.915000,180.000000,top
"A3","RP2350_Fwd","RaspberryPi_Pico_Common_THT",91.110000,-5.870000,0.000000,top
"C1","100nF","C_Disc_D5.0mm_W2.5mm_P5.00mm",82.500000,-48.000000,0.000000,top
"J1","USB_A_Host","USB_A_Connfly_DS1095",20.500000,-65.645000,0.000000,top
"R1","470R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",57.190000,-12.000000,0.000000,top
"R2","680R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",81.190000,-12.000000,0.000000,top
"U1","6N137","DIP-8_W7.62mm_Socket",68.190000,-26.190000,0.000000,top
