Ref,Val,Package,PosX,PosY,Rot,Side
"A1","RP2350_PicoA","RaspberryPi_Pico_SMD",50.000000,-30.085000,0.000000,top
"A2","RP2350_PicoB","RaspberryPi_Pico_SMD",24.000000,-29.915000,180.000000,top
"A3","RP2350_Fwd","RaspberryPi_Pico_SMD",88.000000,-30.085000,0.000000,top
"C1","100nF","C_0805_2012Metric",73.000000,-48.000000,0.000000,top
"J1","USB_A_Host","USB_A_Connfly_DS1095",20.500000,-65.645000,0.000000,top
"R1","470R","R_0805_2012Metric",63.000000,-12.000000,0.000000,top
"R2","680R","R_0805_2012Metric",73.000000,-12.000000,0.000000,top
"U1","HCPL-0601","SOIC-8_3.9x4.9mm_P1.27mm",67.000000,-30.000000,0.000000,top
