Ref,Val,Package,PosX,PosY,Rot,Side
"A2","RP2350_PicoB","RaspberryPi_Pico_Common_THT",15.870000,-14.000000,-90.000000,bottom
"A1","RP2350_PicoA","RaspberryPi_Pico_Common_THT",15.870000,-22.890000,90.000000,top
"A3","RP2350_Fwd","RaspberryPi_Pico_Common_THT",15.870000,-59.390000,90.000000,top
"C1","100nF","C_0805_2012Metric",52.000000,-50.500000,0.000000,top
"R1","470R","R_0805_2012Metric",52.000000,-18.500000,0.000000,top
"R2","680R","R_0805_2012Metric",28.000000,-50.500000,0.000000,top
"U1","HCPL-0601","SOIC-8_3.9x4.9mm_P1.27mm",40.000000,-36.700000,-90.000000,top
